circle
unit h
skip 6
           coordinates  (B1950)  radius
Field   hh mm ss.ss   dd mm ss.s d
ngp178  11 58 42.31  -02 17 59.2 1
ngp179  12 04 35.46  -02 17 59.2 1
ngp180  12 10 26.56  -02 17 59.2 1
ngp181  12 15 39.52  -02 17 59.2 1
ngp182  12 19 56.56  -02 17 59.2 1
ngp183  12 25 07.38  -02 17 59.2 1
ngp184  12 29 51.32  -02 17 59.2 1
ngp185  12 34 47.03  -02 17 59.2 1
ngp186  12 38 55.39  -02 17 59.2 1
ngp187  12 43 17.17  -02 17 59.2 1
ngp188  12 47 23.50  -02 17 59.2 1
ngp189  12 51 50.69  -02 17 59.2 1
ngp190  12 55 38.72  -02 17 59.2 1
ngp191  12 59 37.08  -02 17 59.2 1
ngp192  13 00 58.34  -02 17 59.2 1
ngp193  13 06 39.34  -02 17 59.2 1
ngp194  13 11 01.47  -02 17 59.2 1
ngp195  13 16 40.58  -02 17 59.2 1
ngp196  13 20 24.05  -02 17 59.2 1
ngp197  13 25 46.25  -02 17 59.2 1
ngp198  13 28 19.71  -02 17 59.2 1
ngp199  13 31 22.63  -02 17 59.2 1
ngp200  13 36 08.94  -02 17 59.2 1
ngp201  13 42 08.80  -02 17 59.2 1
ngp202  13 48 33.94  -02 17 59.2 1
ngp203  13 54 02.53  -02 17 59.2 1
ngp204  14 00 33.87  -02 17 59.2 1
ngp205  14 07 04.00  -02 17 59.2 1
ngp206  14 11 52.13  -02 17 59.2 1
ngp207  14 17 07.20  -02 17 59.2 1
ngp208  14 21 56.98  -02 17 59.2 1
ngp209  14 28 01.74  -02 17 59.2 1
ngp210  14 32 26.06  -02 17 59.2 1
ngp211  14 37 56.77  -02 17 59.2 1
ngp212  14 42 24.06  -02 17 59.2 1
ngp213  14 48 17.11  -02 17 59.2 1
ngp214  09 47 47.31  -02 17 59.2 1
ngp215  09 52 52.05  -02 17 59.2 1
ngp216  09 57 49.75  -02 17 59.2 1
ngp217  10 01 35.20  -02 17 59.2 1
ngp218  10 07 13.93  -02 17 59.2 1
ngp219  10 11 20.36  -02 17 59.2 1
ngp220  10 15 50.43  -02 17 59.2 1
ngp221  10 19 14.04  -02 17 59.2 1
ngp222  10 24 02.27  -02 17 59.2 1
ngp223  10 28 30.00  -02 17 59.2 1
ngp224  10 32 07.91  -02 17 59.2 1
ngp225  10 36 42.22  -02 17 59.2 1
ngp226  10 40 19.14  -02 17 59.2 1
ngp227  10 43 33.56  -02 17 59.2 1
ngp228  10 49 16.89  -02 17 59.2 1
ngp229  10 53 36.48  -02 17 59.2 1
ngp230  10 59 28.75  -02 17 59.2 1
ngp231  11 03 35.73  -02 17 59.2 1
ngp232  11 08 06.52  -02 17 59.2 1
ngp233  11 11 34.77  -02 17 59.2 1
ngp234  11 16 16.91  -02 17 59.2 1
ngp235  11 21 11.16  -02 17 59.2 1
ngp236  11 27 42.56  -02 17 59.2 1
ngp237  11 32 18.77  -02 17 59.2 1
ngp238  11 36 19.60  -02 17 59.2 1
ngp239  11 39 47.94  -02 17 59.2 1
ngp240  11 42 23.30  -02 17 59.2 1
ngp241  11 46 33.15  -02 17 59.2 1
ngp242  11 50 19.65  -02 17 59.2 1
ngp243  11 53 11.32  -02 17 59.2 1
ngp244  11 59 42.45  -02 17 59.2 1
ngp245  12 02 05.45  -00 56 59.2 1
ngp246  12 08 33.88  -00 56 59.2 1
ngp247  12 11 59.91  -00 56 59.2 1
ngp248  12 17 03.71  -00 56 59.2 1
ngp249  12 23 34.79  -00 56 59.2 1
ngp250  12 29 42.93  -00 56 59.2 1
ngp251  12 32 48.39  -00 56 59.2 1
ngp252  12 38 23.20  -00 56 59.2 1
ngp253  12 42 04.85  -00 56 59.2 1
ngp254  12 47 04.26  -00 56 59.2 1
ngp255  12 49 54.98  -00 56 59.2 1
ngp256  12 53 18.10  -00 56 59.2 1
