circle
unit h
skip 6
           coordinates  (B1950)  radius
Field   hh mm ss.ss   dd mm ss.s d
sgp169  21 39 59.38  -27 42 00.1 1
sgp170  21 45 51.51  -27 42 00.1 1
sgp171  21 51 06.63  -27 42 00.1 1
sgp172  21 55 33.73  -27 42 00.1 1
sgp173  22 00 42.89  -27 42 00.1 1
sgp174  22 04 23.13  -27 42 00.1 1
sgp175  22 07 35.52  -27 42 00.1 1
sgp176  22 11 13.48  -27 42 00.1 1
sgp177  22 14 35.80  -27 42 00.1 1
sgp178  22 17 27.06  -27 42 00.1 1
sgp179  22 23 19.19  -27 42 00.1 1
sgp180  22 29 11.32  -27 42 00.1 1
sgp181  22 34 59.97  -27 42 00.1 1
sgp182  22 40 48.84  -27 42 00.1 1
sgp183  22 46 36.31  -27 42 00.1 1
sgp184  22 51 35.43  -27 42 00.1 1
sgp185  22 56 23.52  -27 42 00.1 1
sgp186  23 00 57.28  -27 42 00.1 1
sgp187  23 06 44.41  -27 42 00.1 1
sgp188  23 11 31.95  -27 42 00.1 1
sgp189  23 15 33.85  -27 42 00.1 1
sgp190  23 19 16.20  -27 42 00.1 1
sgp191  23 25 01.63  -27 42 00.1 1
sgp192  23 30 39.45  -27 42 00.1 1
sgp193  23 36 27.48  -27 42 00.1 1
sgp194  23 41 41.02  -27 42 00.1 1
sgp195  23 45 11.59  -27 42 00.1 1
sgp196  23 48 32.09  -27 42 00.1 1
sgp197  23 52 05.57  -27 42 00.1 1
sgp198  23 56 40.05  -27 42 00.1 1
sgp199  00 00 24.00  -27 42 00.1 1
sgp200  00 02 40.46  -27 42 00.1 1
sgp201  00 07 25.53  -27 42 00.1 1
sgp202  00 12 28.60  -27 42 00.1 1
sgp203  00 16 23.42  -27 42 00.1 1
sgp204  00 21 02.87  -27 42 00.1 1
sgp205  00 25 54.70  -27 42 00.1 1
sgp206  00 31 31.26  -27 42 00.1 1
sgp207  00 36 01.71  -27 42 00.1 1
sgp208  00 39 26.41  -27 42 00.1 1
sgp209  00 44 05.41  -27 42 00.1 1
sgp210  00 49 42.81  -27 42 00.1 1
sgp211  00 55 26.34  -27 42 00.1 1
sgp212  00 59 52.91  -27 42 00.1 1
sgp213  01 05 38.36  -27 42 00.1 1
sgp214  01 11 03.45  -27 42 00.1 1
sgp215  01 15 49.68  -27 42 00.1 1
sgp216  01 20 42.55  -27 42 00.1 1
sgp217  01 25 20.57  -27 42 00.1 1
sgp218  01 30 13.25  -27 42 00.1 1
sgp219  01 33 56.42  -27 42 00.1 1
sgp220  01 38 06.16  -27 42 00.1 1
sgp221  01 43 46.00  -27 42 00.1 1
sgp222  01 48 42.67  -27 42 00.1 1
sgp223  01 53 02.75  -27 42 00.1 1
sgp224  01 57 49.07  -27 42 00.1 1
sgp225  02 01 50.39  -27 42 00.1 1
sgp226  02 05 57.48  -27 42 00.1 1
sgp227  02 10 00.90  -27 42 00.1 1
sgp228  02 13 28.61  -27 42 00.1 1
sgp229  02 17 50.74  -27 42 00.1 1
sgp230  02 22 50.26  -27 42 00.1 1
sgp231  02 27 35.50  -27 42 00.1 1
sgp232  02 32 27.78  -27 42 00.1 1
sgp233  02 36 37.24  -27 42 00.1 1
sgp234  02 40 42.55  -27 42 00.1 1
sgp235  02 45 07.65  -27 42 00.1 1
sgp236  02 49 43.96  -27 42 00.1 1
sgp237  02 55 32.57  -27 42 00.1 1
sgp238  03 01 21.22  -27 42 00.1 1
sgp239  03 07 10.09  -27 42 00.1 1
sgp240  03 12 15.68  -27 42 00.1 1
sgp241  03 15 56.63  -27 42 00.1 1
sgp242  03 20 48.42  -27 42 00.1 1
sgp243  03 26 28.50  -27 42 00.1 1
sgp244  03 32 20.62  -27 42 00.1 1
sgp245  03 38 12.75  -27 42 00.1 1
sgp246  21 40 21.65  -29 12 00.1 1
sgp247  21 44 58.09  -29 12 00.1 1
sgp248  21 49 04.66  -29 12 00.1 1
sgp249  21 53 55.16  -29 12 00.1 1
sgp250  21 58 36.39  -29 12 00.1 1
sgp251  22 02 53.42  -29 12 00.1 1
sgp252  22 05 57.68  -29 12 00.1 1
sgp253  22 09 46.30  -29 12 00.1 1
sgp254  22 14 26.39  -29 12 00.1 1
sgp255  22 18 27.27  -29 12 00.1 1
sgp256  22 23 13.65  -29 12 00.1 1
sgp257  22 28 37.48  -29 12 00.1 1
sgp258  22 34 28.98  -29 12 00.1 1
sgp259  22 40 13.66  -29 12 00.1 1
sgp260  22 45 25.98  -29 12 00.1 1
sgp261  22 47 39.98  -29 12 00.1 1
sgp262  22 53 27.32  -29 12 00.1 1
sgp263  22 59 08.19  -29 12 00.1 1
sgp264  23 04 19.93  -29 12 00.1 1
sgp265  23 08 45.60  -29 12 00.1 1
sgp266  23 11 53.90  -29 12 00.1 1
sgp267  23 16 17.93  -29 12 00.1 1
sgp268  23 21 13.36  -29 12 00.1 1
sgp269  23 25 03.21  -29 12 00.1 1
sgp270  23 30 43.52  -29 12 00.1 1
sgp271  23 35 48.57  -29 12 00.1 1
sgp272  23 39 45.96  -29 12 00.1 1
sgp273  23 42 49.84  -29 12 00.1 1
sgp274  23 47 11.52  -29 12 00.1 1
sgp275  23 51 14.57  -29 12 00.1 1
sgp276  23 54 44.43  -29 12 00.1 1
sgp277  00 00 38.15  -29 12 00.1 1
sgp278  00 05 43.12  -29 12 00.1 1
sgp279  00 10 28.20  -29 12 00.1 1
sgp280  00 14 08.80  -29 12 00.1 1
sgp281  00 18 53.19  -29 12 00.1 1
sgp282  00 23 29.42  -29 12 00.1 1
sgp283  00 27 58.67  -29 12 00.1 1
sgp284  00 32 30.92  -29 12 00.1 1
sgp285  00 36 05.55  -29 12 00.1 1
sgp286  00 38 26.35  -29 12 00.1 1
sgp287  00 41 26.67  -29 12 00.1 1
sgp288  00 44 22.65  -29 12 00.1 1
sgp289  00 48 12.78  -29 12 00.1 1
sgp290  00 53 00.93  -29 12 00.1 1
sgp291  00 57 30.43  -29 12 00.1 1
sgp292  01 02 31.98  -29 12 00.1 1
sgp293  01 06 40.33  -29 12 00.1 1
sgp294  01 10 31.20  -29 12 00.1 1
sgp295  01 14 34.74  -29 12 00.1 1
sgp296  01 19 18.16  -29 12 00.1 1
sgp297  01 23 04.08  -29 12 00.1 1
sgp298  01 26 56.51  -29 12 00.1 1
sgp299  01 32 08.13  -29 12 00.1 1
sgp300  01 37 06.96  -29 12 00.1 1
sgp301  01 42 23.06  -29 12 00.1 1
sgp302  01 45 52.31  -29 12 00.1 1
sgp303  01 50 42.34  -29 12 00.1 1
sgp304  01 55 59.85  -29 12 00.1 1
sgp305  02 01 40.84  -29 12 00.1 1
sgp306  02 06 44.35  -29 12 00.1 1
sgp307  02 10 57.34  -29 12 00.1 1
sgp308  02 15 26.05  -29 12 00.1 1
sgp309  02 18 49.39  -29 12 00.1 1
sgp310  02 23 12.20  -29 12 00.1 1
sgp311  02 28 26.71  -29 12 00.1 1
sgp312  02 34 11.64  -29 12 00.1 1
sgp313  02 39 49.92  -29 12 00.1 1
sgp314  02 44 27.09  -29 12 00.1 1
sgp315  02 50 10.25  -29 12 00.1 1
sgp316  02 56 03.84  -29 12 00.1 1
sgp317  03 01 57.59  -29 12 00.1 1
sgp318  03 07 51.26  -29 12 00.1 1
sgp319  03 13 05.28  -29 12 00.1 1
sgp320  03 16 54.84  -29 12 00.1 1
sgp321  03 22 01.78  -29 12 00.1 1
sgp322  03 27 20.15  -29 12 00.1 1
sgp323  03 30 19.88  -29 12 00.1 1
sgp324  03 36 12.43  -29 12 00.1 1
sgp325  03 42 09.59  -29 12 00.1 1
sgp326  21 40 41.85  -30 42 00.1 1
sgp327  21 43 50.11  -30 42 00.1 1
sgp328  21 47 00.08  -30 42 00.1 1
sgp329  21 51 25.58  -30 42 00.1 1
sgp330  21 55 29.29  -30 42 00.1 1
sgp331  22 00 22.31  -30 42 00.1 1
sgp332  22 04 23.68  -30 42 00.1 1
sgp333  22 06 55.30  -30 42 00.1 1
sgp334  22 10 18.33  -30 42 00.1 1
sgp335  22 14 51.99  -30 42 00.1 1
sgp336  22 20 19.42  -30 42 00.1 1
sgp337  22 24 06.57  -30 42 00.1 1
sgp338  22 26 35.19  -30 42 00.1 1
sgp339  22 31 30.74  -30 42 00.1 1
sgp340  22 36 36.02  -30 42 00.1 1
sgp341  22 42 27.69  -30 42 00.1 1
sgp342  22 47 14.02  -30 42 00.1 1
sgp343  22 50 21.68  -30 42 00.1 1
sgp344  22 56 13.09  -30 42 00.1 1
sgp345  23 02 08.23  -30 42 00.1 1
sgp346  23 07 59.55  -30 42 00.1 1
sgp347  23 11 57.59  -30 42 00.1 1
sgp348  23 15 55.55  -30 42 00.1 1
sgp349  23 21 05.52  -30 42 00.1 1
sgp350  23 25 22.09  -30 42 00.1 1
sgp351  23 29 25.77  -30 42 00.1 1
sgp352  23 34 13.91  -30 42 00.1 1
sgp353  23 37 52.99  -30 42 00.1 1
sgp354  23 41 52.43  -30 42 00.1 1
sgp355  23 47 01.30  -30 42 00.1 1
sgp356  23 50 48.74  -30 42 00.1 1
sgp357  23 55 21.77  -30 42 00.1 1
sgp358  00 00 45.53  -30 42 00.1 1
sgp359  00 05 02.26  -30 42 00.1 1
sgp360  00 10 16.55  -30 42 00.1 1
sgp361  00 14 13.61  -30 42 00.1 1
sgp362  00 18 25.19  -30 42 00.1 1
sgp363  00 23 05.26  -30 42 00.1 1
sgp364  00 25 11.44  -30 42 00.1 1
sgp365  00 30 32.21  -30 42 00.1 1
sgp366  00 34 58.33  -30 42 00.1 1
sgp367  00 38 20.58  -30 42 00.1 1
sgp368  00 42 53.81  -30 42 00.1 1
sgp369  00 48 24.66  -30 42 00.1 1
sgp370  00 52 35.43  -30 42 00.1 1
sgp371  00 57 03.45  -30 42 00.1 1
sgp372  00 59 41.47  -30 42 00.1 1
sgp373  01 03 45.97  -30 42 00.1 1
sgp374  01 08 16.35  -30 42 00.1 1
sgp375  01 11 18.13  -30 42 00.1 1
sgp376  01 15 24.44  -30 42 00.1 1
sgp377  01 20 01.69  -30 42 00.1 1
sgp378  01 23 33.26  -30 42 00.1 1
sgp379  01 28 08.03  -30 42 00.1 1
sgp380  01 33 26.47  -30 42 00.1 1
sgp381  01 38 37.09  -30 42 00.1 1
sgp382  01 44 04.51  -30 42 00.1 1
sgp383  01 48 29.95  -30 42 00.1 1
sgp384  01 53 56.23  -30 42 00.1 1
sgp385  01 59 22.02  -30 42 00.1 1
sgp386  02 05 11.72  -30 42 00.1 1
sgp387  02 09 44.32  -30 42 00.1 1
sgp388  02 14 10.15  -30 42 00.1 1
sgp389  02 18 24.97  -30 42 00.1 1
sgp390  02 23 58.25  -30 42 00.1 1
sgp391  02 29 57.52  -30 42 00.1 1
sgp392  02 36 00.11  -30 42 00.1 1
sgp393  02 42 00.23  -30 42 00.1 1
sgp394  02 48 02.82  -30 42 00.1 1
sgp395  02 54 01.87  -30 42 00.1 1
sgp396  03 00 02.55  -30 42 00.1 1
sgp397  03 06 02.12  -30 42 00.1 1
sgp398  03 11 44.59  -30 42 00.1 1
sgp399  03 17 06.64  -30 42 00.1 1
sgp400  03 23 06.32  -30 42 00.1 1
sgp401  03 29 05.55  -30 42 00.1 1
sgp402  03 32 56.50  -30 42 00.1 1
sgp403  03 38 59.09  -30 42 00.1 1
sgp404  21 40 20.04  -32 12 00.1 1
sgp405  21 45 46.23  -32 12 00.1 1
sgp406  21 51 08.22  -32 12 00.1 1
sgp407  21 55 14.11  -32 12 00.1 1
sgp408  22 00 56.17  -32 12 00.1 1
sgp409  22 06 41.59  -32 12 00.1 1
sgp410  22 12 15.49  -32 12 00.1 1
sgp411  22 18 14.86  -32 12 00.1 1
sgp412  22 23 32.43  -32 12 00.1 1
sgp413  22 27 58.51  -32 12 00.1 1
sgp414  22 33 58.52  -32 12 00.1 1
sgp415  22 39 40.04  -32 12 00.1 1
sgp416  22 45 31.70  -32 12 00.1 1
sgp417  22 50 01.45  -32 12 00.1 1
sgp418  22 54 21.77  -32 12 00.1 1
sgp419  22 58 35.08  -32 12 00.1 1
sgp420  23 01 12.08  -32 12 00.1 1
sgp421  23 04 46.91  -32 12 00.1 1
sgp422  23 10 32.45  -32 12 00.1 1
sgp423  23 16 03.31  -32 12 00.1 1
sgp424  23 21 22.80  -32 12 00.1 1
sgp425  23 25 06.02  -32 12 00.1 1
sgp426  23 30 15.83  -32 12 00.1 1
sgp427  23 33 38.59  -32 12 00.1 1
sgp428  23 38 33.30  -32 12 00.1 1
sgp429  23 44 33.39  -32 12 00.1 1
sgp430  23 49 57.49  -32 12 00.1 1
sgp431  23 53 05.34  -32 12 00.1 1
sgp432  23 57 01.34  -32 12 00.1 1
sgp433  00 01 01.31  -32 12 00.1 1
sgp434  00 05 31.67  -32 12 00.1 1
sgp435  00 11 06.87  -32 12 00.1 1
sgp436  00 13 38.06  -32 12 00.1 1
sgp437  00 17 09.99  -32 12 00.1 1
sgp438  00 22 10.59  -32 12 00.1 1
sgp439  00 27 47.43  -32 12 00.1 1
sgp440  00 33 39.66  -32 12 00.1 1
sgp441  00 39 28.01  -32 12 00.1 1
sgp442  00 45 25.74  -32 12 00.1 1
sgp443  00 51 23.40  -32 12 00.1 1
sgp444  00 56 27.59  -32 12 00.1 1
sgp445  00 59 49.81  -32 12 00.1 1
sgp446  01 04 49.40  -32 12 00.1 1
sgp447  01 09 21.69  -32 12 00.1 1
sgp448  01 14 19.99  -32 12 00.1 1
sgp449  01 19 34.34  -32 12 00.1 1
sgp450  01 23 28.84  -32 12 00.1 1
sgp451  01 26 58.59  -32 12 00.1 1
sgp452  01 30 25.04  -32 12 00.1 1
sgp453  01 34 33.56  -32 12 00.1 1
sgp454  01 39 49.99  -32 12 00.1 1
sgp455  01 44 44.33  -32 12 00.1 1
sgp456  01 49 31.34  -32 12 00.1 1
sgp457  01 55 03.89  -32 12 00.1 1
sgp458  01 59 26.09  -32 12 00.1 1
sgp459  02 04 57.47  -32 12 00.1 1
sgp460  02 09 45.47  -32 12 00.1 1
sgp461  02 15 11.33  -32 12 00.1 1
sgp462  02 20 49.69  -32 12 00.1 1
sgp463  02 26 45.14  -32 12 00.1 1
sgp464  02 31 12.89  -32 12 00.1 1
sgp465  02 37 17.81  -32 12 00.1 1
sgp466  02 43 26.25  -32 12 00.1 1
sgp467  02 49 34.69  -32 12 00.1 1
sgp468  02 55 43.14  -32 12 00.1 1
sgp469  03 01 51.58  -32 12 00.1 1
sgp470  03 08 00.02  -32 12 00.1 1
sgp471  03 14 08.47  -32 12 00.1 1
