      az(d)       el(d) polygon_ids
-180.000000  -90.000000 3 4
-178.000000  -90.000000 3 4
-176.000000  -90.000000 3 4
-174.000000  -90.000000 3 4
-172.000000  -90.000000 3 4
-170.000000  -90.000000 3 4
-168.000000  -90.000000 3 4
-166.000000  -90.000000 3 4
-164.000000  -90.000000 3 4
-162.000000  -90.000000 3 4
-160.000000  -90.000000 3 4
-158.000000  -90.000000 3 4
-156.000000  -90.000000 3 4
-154.000000  -90.000000 3 4
-152.000000  -90.000000 3 4
-150.000000  -90.000000 3 4
-148.000000  -90.000000 3 4
-146.000000  -90.000000 3 4
-144.000000  -90.000000 3 4
-142.000000  -90.000000 3 4
-140.000000  -90.000000 3 4
-138.000000  -90.000000 3 4
-136.000000  -90.000000 3 4
-134.000000  -90.000000 3 4
-132.000000  -90.000000 3 4
-130.000000  -90.000000 3 4
-128.000000  -90.000000 3 4
-126.000000  -90.000000 3 4
-124.000000  -90.000000 3 4
-122.000000  -90.000000 3 4
-120.000000  -90.000000 3 4
-118.000000  -90.000000 3 4
-116.000000  -90.000000 3 4
-114.000000  -90.000000 3 4
-112.000000  -90.000000 3 4
-110.000000  -90.000000 3 4
-108.000000  -90.000000 3 4
-106.000000  -90.000000 3 4
-104.000000  -90.000000 3 4
-102.000000  -90.000000 3 4
-100.000000  -90.000000 3 4
 -98.000000  -90.000000 3 4
 -96.000000  -90.000000 3 4
 -94.000000  -90.000000 3 4
 -92.000000  -90.000000 3 4
 -90.000000  -90.000000 3 4
 -88.000000  -90.000000 3 4
 -86.000000  -90.000000 3 4
 -84.000000  -90.000000 3 4
 -82.000000  -90.000000 3 4
 -80.000000  -90.000000 3 4
 -78.000000  -90.000000 3 4
 -76.000000  -90.000000 3 4
 -74.000000  -90.000000 3 4
 -72.000000  -90.000000 3 4
 -70.000000  -90.000000 3 4
 -68.000000  -90.000000 3 4
 -66.000000  -90.000000 3 4
 -64.000000  -90.000000 3 4
 -62.000000  -90.000000 3 4
 -60.000000  -90.000000 3 4
 -58.000000  -90.000000 3 4
 -56.000000  -90.000000 3 4
 -54.000000  -90.000000 3 4
 -52.000000  -90.000000 3 4
 -50.000000  -90.000000 3 4
 -48.000000  -90.000000 3 4
 -46.000000  -90.000000 3 4
 -44.000000  -90.000000 3 4
 -42.000000  -90.000000 3 4
 -40.000000  -90.000000 3 4
 -38.000000  -90.000000 3 4
 -36.000000  -90.000000 3 4
 -34.000000  -90.000000 3 4
 -32.000000  -90.000000 3 4
 -30.000000  -90.000000 3 4
 -28.000000  -90.000000 3 4
 -26.000000  -90.000000 3 4
 -24.000000  -90.000000 3 4
 -22.000000  -90.000000 3 4
 -20.000000  -90.000000 3 4
 -18.000000  -90.000000 3 4
 -16.000000  -90.000000 3 4
 -14.000000  -90.000000 3 4
 -12.000000  -90.000000 3 4
 -10.000000  -90.000000 3 4
  -8.000000  -90.000000 3 4
  -6.000000  -90.000000 3 4
  -4.000000  -90.000000 3 4
  -2.000000  -90.000000 3 4
   0.000000  -90.000000 3 4
   2.000000  -90.000000 3 4
   4.000000  -90.000000 3 4
   6.000000  -90.000000 3 4
   8.000000  -90.000000 3 4
  10.000000  -90.000000 3 4
  12.000000  -90.000000 3 4
  14.000000  -90.000000 3 4
  16.000000  -90.000000 3 4
  18.000000  -90.000000 3 4
  20.000000  -90.000000 3 4
  22.000000  -90.000000 3 4
  24.000000  -90.000000 3 4
  26.000000  -90.000000 3 4
  28.000000  -90.000000 3 4
  30.000000  -90.000000 3 4
  32.000000  -90.000000 3 4
  34.000000  -90.000000 3 4
  36.000000  -90.000000 3 4
  38.000000  -90.000000 3 4
  40.000000  -90.000000 3 4
  42.000000  -90.000000 3 4
  44.000000  -90.000000 3 4
  46.000000  -90.000000 3 4
  48.000000  -90.000000 3 4
  50.000000  -90.000000 3 4
  52.000000  -90.000000 3 4
  54.000000  -90.000000 3 4
  56.000000  -90.000000 3 4
  58.000000  -90.000000 3 4
  60.000000  -90.000000 3 4
  62.000000  -90.000000 3 4
  64.000000  -90.000000 3 4
  66.000000  -90.000000 3 4
  68.000000  -90.000000 3 4
  70.000000  -90.000000 3 4
  72.000000  -90.000000 3 4
  74.000000  -90.000000 3 4
  76.000000  -90.000000 3 4
  78.000000  -90.000000 3 4
  80.000000  -90.000000 3 4
  82.000000  -90.000000 3 4
  84.000000  -90.000000 3 4
  86.000000  -90.000000 3 4
  88.000000  -90.000000 3 4
  90.000000  -90.000000 3 4
  92.000000  -90.000000 3 4
  94.000000  -90.000000 3 4
  96.000000  -90.000000 3 4
  98.000000  -90.000000 3 4
 100.000000  -90.000000 3 4
 102.000000  -90.000000 3 4
 104.000000  -90.000000 3 4
 106.000000  -90.000000 3 4
 108.000000  -90.000000 3 4
 110.000000  -90.000000 3 4
 112.000000  -90.000000 3 4
 114.000000  -90.000000 3 4
 116.000000  -90.000000 3 4
 118.000000  -90.000000 3 4
 120.000000  -90.000000 3 4
 122.000000  -90.000000 3 4
 124.000000  -90.000000 3 4
 126.000000  -90.000000 3 4
 128.000000  -90.000000 3 4
 130.000000  -90.000000 3 4
 132.000000  -90.000000 3 4
 134.000000  -90.000000 3 4
 136.000000  -90.000000 3 4
 138.000000  -90.000000 3 4
 140.000000  -90.000000 3 4
 142.000000  -90.000000 3 4
 144.000000  -90.000000 3 4
 146.000000  -90.000000 3 4
