      az(d)       el(d) polygon_ids
-180.000000  -90.000000 19
-178.000000  -90.000000 19
-176.000000  -90.000000 19
-174.000000  -90.000000 19
-172.000000  -90.000000 19
-170.000000  -90.000000 19
-168.000000  -90.000000 19
-166.000000  -90.000000 19
-164.000000  -90.000000 19
-162.000000  -90.000000 19
-160.000000  -90.000000 19
-158.000000  -90.000000 19
-156.000000  -90.000000 19
-154.000000  -90.000000 19
-152.000000  -90.000000 19
-150.000000  -90.000000 19
-148.000000  -90.000000 19
-146.000000  -90.000000 19
-144.000000  -90.000000 19
-142.000000  -90.000000 19
-140.000000  -90.000000 19
-138.000000  -90.000000 19
-136.000000  -90.000000 19
-134.000000  -90.000000 19
-132.000000  -90.000000 19
-130.000000  -90.000000 19
-128.000000  -90.000000 19
-126.000000  -90.000000 19
-124.000000  -90.000000 19
-122.000000  -90.000000 19
-120.000000  -90.000000 19
-118.000000  -90.000000 19
-116.000000  -90.000000 19
-114.000000  -90.000000 19
-112.000000  -90.000000 19
-110.000000  -90.000000 19
-108.000000  -90.000000 19
-106.000000  -90.000000 19
-104.000000  -90.000000 19
-102.000000  -90.000000 19
-100.000000  -90.000000 19
 -98.000000  -90.000000 19
 -96.000000  -90.000000 19
 -94.000000  -90.000000 19
 -92.000000  -90.000000 19
 -90.000000  -90.000000 20
 -88.000000  -90.000000 20
 -86.000000  -90.000000 20
 -84.000000  -90.000000 20
 -82.000000  -90.000000 20
 -80.000000  -90.000000 20
 -78.000000  -90.000000 20
 -76.000000  -90.000000 20
 -74.000000  -90.000000 20
 -72.000000  -90.000000 20
 -70.000000  -90.000000 20
 -68.000000  -90.000000 20
 -66.000000  -90.000000 20
 -64.000000  -90.000000 20
 -62.000000  -90.000000 20
 -60.000000  -90.000000 20
 -58.000000  -90.000000 20
 -56.000000  -90.000000 20
 -54.000000  -90.000000 20
 -52.000000  -90.000000 20
 -50.000000  -90.000000 20
 -48.000000  -90.000000 20
 -46.000000  -90.000000 20
 -44.000000  -90.000000 20
 -42.000000  -90.000000 20
 -40.000000  -90.000000 20
 -38.000000  -90.000000 20
 -36.000000  -90.000000 20
 -34.000000  -90.000000 20
