      az(d)       el(d) polygon_ids
-180.000000   -2.000000 4
-160.000000   -2.000000 4
-140.000000   -2.000000 4
-120.000000   -2.000000 4
-100.000000   -2.000000 4
 -80.000000   -2.000000 4
 -60.000000   -2.000000 4
 -40.000000   -2.000000 4
 -20.000000   -2.000000 4
   0.000000   -2.000000 3
 180.000000   -2.000000 4
 160.000000   -2.000000 3
 140.000000   -2.000000 3
 120.000000   -2.000000 3
 100.000000   -2.000000 3
  80.000000   -2.000000 3
  60.000000   -2.000000 3
  40.000000   -2.000000 3
  20.000000   -2.000000 3
-180.000000    0.000000 2
-160.000000    0.000000 2
-140.000000    0.000000 2
-120.000000    0.000000 2
-100.000000    0.000000 2
 -80.000000    0.000000 2
 -60.000000    0.000000 2
 -40.000000    0.000000 2
 -20.000000    0.000000 2
   0.000000    0.000000 1
 180.000000    0.000000 2
 160.000000    0.000000 1
 140.000000    0.000000 1
 120.000000    0.000000 1
 100.000000    0.000000 1
  80.000000    0.000000 1
  60.000000    0.000000 1
  40.000000    0.000000 1
  20.000000    0.000000 1
-180.000000    2.000000 2
-160.000000    2.000000 2
-140.000000    2.000000 2
-120.000000    2.000000 2
-100.000000    2.000000 2
 -80.000000    2.000000 2
 -60.000000    2.000000 2
 -40.000000    2.000000 2
 -20.000000    2.000000 2
   0.000000    2.000000 1
 180.000000    2.000000 2
 160.000000    2.000000 1
 140.000000    2.000000 1
 120.000000    2.000000 1
 100.000000    2.000000 1
  80.000000    2.000000 1
  60.000000    2.000000 1
  40.000000    2.000000 1
  20.000000    2.000000 1
